hour,kWh per capita,demand
972,0.7178125,2109076.688
973,0.724925,2129974.635
974,0.724725,2129386.995
975,0.69105,2030443.11
976,0.664279167,1951785.048
977,0.663183333,1948565.269
978,0.6873125,2019461.588
979,0.760741667,2235211.166
980,0.793691667,2332024.856
981,0.79755,2343361.41
982,0.768295833,2257406.817
983,0.7140375,2097984.983
984,0.653425,1919893.335
985,0.607345833,1784503.527
986,0.576608333,1694190.604
987,0.566745833,1665212.607
988,0.566029167,1663106.898
989,0.581341667,1708098.086
990,0.659541667,1937865.326
991,0.776916667,2282736.551
992,0.847266667,2489438.921
993,0.877891667,2579421.296
994,0.8846125,2599168.448
995,0.882529167,2593047.198
996,0.873879167,2567631.768
997,0.8675875,2549145.593
998,0.841125,2471393.475
999,0.8225375,2416779.683
1000,0.812879167,2388401.568
1001,0.80515,2365691.73
1002,0.812566667,2387483.381
1003,0.876816667,2576262.731
1004,0.901225,2647979.295
1005,0.887520833,2607713.712
1006,0.8223375,2416192.043
